<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
.	114485
ein	73027
einem	52859
mit	48928
auf	45724
in	42294
eine	38711
mann	36380
und	35443
einer	33739
der	26708
,	23673
frau	22019
die	21305
an	17755
zwei	17702
im	17688
einen	15975
vor	15187
steht	12296
dem	11497
junge	11052
sitzt	9460
stehen	8337
männer	8223
den	8176
sich	8128
mädchen	7785
am	7486
hund	7367
menschen	7301
sitzen	6811
über	6408
straße	5799
personen	5620
frauen	5332
kind	5199
kinder	4831
hält	4819
neben	4630
hand	4599
das	4515
von	4448
spielt	4362
drei	4265
springt	4235
beim	4111
spielen	4077
wasser	3964
durch	3934
wiese	3901
bei	3830
mehrere	3729
zu	3671
leute	3426
läuft	3367
fährt	3356
weißen	3285
roten	3241
aus	3217
eines	3201
shirt	3159
geht	3052
tisch	2888
entlang	2869
person	2838
etwas	2814
kleines	2802
ball	2702
gehen	2616
blauen	2588
hinter	2478
hat	2388
gruppe	2374
einige	2369
seinem	2352
kleiner	2352
während	2348
strand	2344
schwarzen	2320
2	2258
boden	2255
schaut	2180
laufen	2148
bühne	2090
trägt	2083
um	2004
hunde	1994
schwarzer	1977
ist	1976
jungen	1970
luft	1967
kleinen	1964
großen	1950
viele	1943
schnee	1928
liegt	1893
kamera	1863
fahrrad	1838
macht	1738
platz	1720
paar	1701
jacke	1649
grünen	1628
helm	1619
gelben	1590
vorbei	1578
hemd	1572
kleine	1549
kleidung	1538
junger	1503
sind	1500
vier	1479
nach	1464
gitarre	1458
unter	1457
kopf	1456
anderen	1432
weißem	1428
kleid	1425
gehweg	1411
hut	1388
hose	1333
weißer	1312
rotem	1292
arm	1280
gebäude	1255
wird	1253
fahren	1246
zusammen	1208
hoch	1206
bank	1196
ihren	1175
strasse	1166
mütze	1156
brille	1140
essen	1129
ihm	1129
händen	1129
weg	1126
schauen	1120
wand	1118
rennt	1108
mauer	1106
freien	1077
sonnenbrille	1070
meer	1061
roter	1060
arbeiter	1057
haaren	1054
auto	1049
ihr	1041
raum	1027
t-shirt	1020
blauem	1014
zwischen	1001
