<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
.	114645
ein	73168
einem	52883
mit	48977
auf	45829
in	42707
eine	38783
mann	36538
und	35535
einer	33776
der	27163
,	23673
frau	22059
die	21316
an	17890
im	17729
zwei	17707
einen	16044
vor	15236
steht	12345
dem	11618
junge	11073
sitzt	9473
den	8681
stehen	8365
männer	8260
sich	8140
mädchen	7805
am	7564
hund	7422
menschen	7304
sitzen	6825
über	6461
straße	5971
personen	5625
frauen	5340
kind	5215
hält	4869
kinder	4845
neben	4632
hand	4630
das	4524
von	4449
spielt	4386
springt	4267
drei	4266
spielen	4219
beim	4112
wasser	4028
durch	3937
wiese	3930
bei	3835
mehrere	3729
zu	3675
leute	3439
fährt	3412
läuft	3398
weißen	3362
roten	3329
aus	3321
shirt	3238
eines	3211
tisch	3122
geht	3104
ball	2943
entlang	2869
person	2838
etwas	2815
kleines	2804
gehen	2673
blauen	2672
gruppe	2560
hinter	2479
strand	2419
schwarzen	2409
hat	2406
boden	2405
einige	2380
kleiner	2354
seinem	2353
während	2349
2	2277
schaut	2236
laufen	2210
bühne	2125
trägt	2089
um	2057
hunde	2025
schwarzer	2025
ist	2012
luft	1976
großen	1975
jungen	1973
kleinen	1964
ge@@	1963
kamera	1945
viele	1944
platz	1943
schnee	1934
liegt	1900
fahrrad	1894
kleidung	1888
jacke	1810
macht	1744
paar	1725
grünen	1680
helm	1678
gelben	1660
hemd	1632
vorbei	1579
er	1566
kleine	1549
kleid	1527
kopf	1519
junger	1504
weißem	1501
sind	1500
gitarre	1498
be@@	1485
vier	1480
hut	1471
unter	1466
nach	1465
anderen	1435
hose	1434
gehweg	1420
wand	1386
weg	1383
weißer	1374
fahren	1363
rotem	1330
arm	1325
gebäude	1316
ver@@	1292
bank	1281
mütze	1281
ten	1264
wird	1253
er@@	1253
strasse	1232
brille	1219
zusammen	1208
hoch	1207
mauer	1206
ihren	1175
arbeiter	1171
k@@	1162
rennt	1157
schauen	1146
auto	1142
essen	1136
raum	1133
ihm	1130
händen	1130
freien	1098
sch@@	1090
roter	1082
