<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
a	248219
.	137943
in	76202
the	57271
on	41579
and	40420
man	39050
is	37659
of	35571
with	33168
,	23199
woman	20295
two	19598
are	18439
to	16126
people	15899
at	14890
an	14590
wearing	14319
young	12023
white	11979
shirt	11932
black	11185
while	10749
his	10481
blue	10334
red	9066
sitting	8782
men	8695
girl	8655
boy	8422
standing	8269
dog	8189
playing	7879
street	7292
group	7231
down	7049
front	6960
her	6770
walking	6765
holding	6324
one	5868
water	5383
by	5235
three	5224
women	4898
green	4754
up	4664
looking	4608
as	4601
child	4594
for	4487
large	4365
little	4293
outside	4272
yellow	4134
person	4059
brown	4012
children	3994
through	3954
from	3721
their	3702
hat	3666
other	3601
ball	3532
next	3447
small	3441
into	3383
over	3357
some	3242
dressed	3177
out	3163
building	3067
running	3056
jacket	3045
another	3041
riding	3015
around	2905
orange	2826
near	2720
crowd	2705
field	2697
stands	2660
beach	2626
background	2614
behind	2613
pink	2600
sidewalk	2573
table	2487
jumping	2407
sits	2382
grass	2352
girls	2315
that	2314
bike	2297
snow	2294
looks	2272
top	2220
camera	2167
air	2151
city	2141
asian	2128
wall	2124
stand	2124
dogs	2096
player	2091
older	2090
&apos;s	2060
working	2023
hair	2014
has	2014
four	1998
dress	1982
off	1957
soccer	1943
it	1941
something	1939
several	1938
gray	1916
talking	1907
lady	1884
park	1862
him	1861
shorts	1856
walks	1830
guitar	1828
pants	1820
picture	1805
boys	1796
hand	1764
jeans	1756
smiling	1740
plays	1732
along	1716
play	1703
game	1648
food	1635
road	1629
together	1627
carrying	1622
car	1614
them	1605
holds	1591
bench	1578
&quot;	1570
walk	1557
side	1543
baby	1511
there	1506
glasses	1495
stage	1478
face	1476
head	1464
old	1456
sit	1449
blond	1447
bicycle	1422
hands	1399
taking	1394
back	1381
watching	1381
pool	1372
couple	1371
male	1365
doing	1360
tree	1355
baseball	1350
rock	1342
guy	1341
each	1322
ground	1318
area	1318
who	1307
he	1298
female	1280
dark	1274
dirt	1265
race	1253
being	1249
boat	1248
day	1240
performing	1227
